map_type,seed,goals_reached,goals_total,goal_pct,SOC,makespan,time_ms
cooperative_clearing_105,00,0,25,0.0,366,18,99
cooperative_clearing_105,01,0,25,0.0,312,17,88
cooperative_clearing_105,02,2,25,8.0,875,40,61
cooperative_clearing_105,03,0,25,0.0,944,41,63
cooperative_clearing_105,04,1,25,4.0,389,17,202
cooperative_clearing_105,05,1,25,4.0,862,44,64
cooperative_clearing_105,06,0,25,0.0,354,16,70
cooperative_clearing_105,07,5,25,20.0,1562,70,61
cooperative_clearing_105,08,0,25,0.0,358,22,64
cooperative_clearing_105,09,0,25,0.0,939,44,67
cooperative_clearing_105,10,0,25,0.0,1179,55,66
cooperative_clearing_105,11,2,25,8.0,988,50,64
cooperative_clearing_105,12,1,25,4.0,280,14,220
cooperative_clearing_105,13,0,25,0.0,463,35,71
cooperative_clearing_105,14,0,25,0.0,561,27,63
cooperative_clearing_105,15,0,25,0.0,383,18,73
cooperative_clearing_105,16,0,25,0.0,838,37,62
cooperative_clearing_105,17,0,25,0.0,417,20,82
cooperative_clearing_105,18,0,25,0.0,358,20,82
cooperative_clearing_105,19,0,25,0.0,593,28,61
cooperative_clearing_105,20,0,25,0.0,296,15,69
cooperative_clearing_105,21,3,25,12.0,778,36,74
cooperative_clearing_105,22,0,25,0.0,704,30,61
cooperative_clearing_105,23,0,25,0.0,270,13,228
cooperative_clearing_105,24,1,25,4.0,1053,52,61
bottleneck_doors_105,00,20,25,80.0,1973,120,62
bottleneck_doors_105,01,25,25,100.0,2106,173,50
bottleneck_doors_105,02,25,25,100.0,2159,158,46
bottleneck_doors_105,03,25,25,100.0,2473,151,58
bottleneck_doors_105,04,15,25,60.0,1823,106,61
bottleneck_doors_105,05,25,25,100.0,2217,139,52
bottleneck_doors_105,06,25,25,100.0,2069,152,42
bottleneck_doors_105,07,4,25,16.0,791,39,79
bottleneck_doors_105,08,25,25,100.0,1868,139,44
bottleneck_doors_105,09,25,25,100.0,1680,150,32
bottleneck_doors_105,10,11,25,44.0,956,49,61
bottleneck_doors_105,11,25,25,100.0,1537,131,39
bottleneck_doors_105,12,25,25,100.0,2003,164,45
bottleneck_doors_105,13,11,25,44.0,1729,78,61
bottleneck_doors_105,14,14,25,56.0,2311,114,61
bottleneck_doors_105,15,25,25,100.0,2014,139,46
bottleneck_doors_105,16,25,25,100.0,1871,134,36
bottleneck_doors_105,17,12,25,48.0,1426,69,61
bottleneck_doors_105,18,25,25,100.0,2272,125,59
bottleneck_doors_105,19,10,25,40.0,1330,68,61
bottleneck_doors_105,20,25,25,100.0,1969,162,46
bottleneck_doors_105,21,25,25,100.0,2479,166,49
bottleneck_doors_105,22,25,25,100.0,1852,146,40
bottleneck_doors_105,23,4,25,16.0,912,44,63
bottleneck_doors_105,24,25,25,100.0,2276,161,57
corridor_speed_105,00,8,25,32.0,1717,82,63
corridor_speed_105,01,1,25,4.0,709,31,64
corridor_speed_105,02,1,25,4.0,726,32,64
corridor_speed_105,03,0,25,0.0,558,27,70
corridor_speed_105,04,1,25,4.0,520,23,269
corridor_speed_105,05,1,25,4.0,1089,48,61
corridor_speed_105,06,0,25,0.0,491,23,62
corridor_speed_105,07,1,25,4.0,1108,51,63
corridor_speed_105,08,7,25,28.0,1523,70,61
corridor_speed_105,09,3,25,12.0,1180,52,63
corridor_speed_105,10,7,25,28.0,1514,66,61
corridor_speed_105,11,0,25,0.0,734,34,62
corridor_speed_105,12,0,25,0.0,867,41,61
corridor_speed_105,13,8,25,32.0,1611,80,64
corridor_speed_105,14,0,25,0.0,944,44,62
corridor_speed_105,15,2,25,8.0,601,33,66
corridor_speed_105,16,4,25,16.0,1181,53,61
corridor_speed_105,17,4,25,16.0,1394,67,61
corridor_speed_105,18,1,25,4.0,925,43,62
corridor_speed_105,19,2,25,8.0,830,36,62
corridor_speed_105,20,0,25,0.0,605,28,70
corridor_speed_105,21,0,25,0.0,403,19,75
corridor_speed_105,22,1,25,4.0,982,43,62
corridor_speed_105,23,3,25,12.0,1405,59,65
corridor_speed_105,24,0,25,0.0,644,31,63
intersection_105,00,5,25,20.0,875,47,63
intersection_105,01,9,25,36.0,863,46,61
intersection_105,02,17,25,68.0,1277,67,61
intersection_105,03,7,25,28.0,684,35,62
intersection_105,04,3,25,12.0,588,33,139
intersection_105,05,8,25,32.0,880,46,136
intersection_105,06,5,25,20.0,1290,56,61
intersection_105,07,1,25,4.0,146,10,87
intersection_105,08,18,25,72.0,1266,71,61
intersection_105,09,6,25,24.0,1141,51,61
intersection_105,10,3,25,12.0,252,19,85
intersection_105,11,4,25,16.0,463,26,62
intersection_105,12,7,25,28.0,731,39,61
intersection_105,13,11,25,44.0,1107,54,62
intersection_105,14,11,25,44.0,755,43,61
intersection_105,15,10,25,40.0,916,46,62
intersection_105,16,6,25,24.0,318,16,100
intersection_105,17,5,25,20.0,375,20,81
intersection_105,18,12,25,48.0,1295,65,63
intersection_105,19,11,25,44.0,1012,45,61
intersection_105,20,11,25,44.0,908,49,65
intersection_105,21,6,25,24.0,806,40,63
intersection_105,22,6,25,24.0,515,32,166
intersection_105,23,4,25,16.0,1002,49,61
intersection_105,24,4,25,16.0,673,32,63
