map_type,seed,agents,goals_reached,goals_total,goal_pct,SOC,makespan,time_ms
corridor_speed_105,00,5,0,5,0.0,87,24,72
corridor_speed_105,01,5,2,5,40.0,126,46,65
corridor_speed_105,02,5,1,5,20.0,83,25,62
corridor_speed_105,03,5,0,5,0.0,101,31,66
corridor_speed_105,04,5,0,5,0.0,74,25,85
corridor_speed_105,00,10,2,10,20.0,224,31,61
corridor_speed_105,01,10,1,10,10.0,207,27,73
corridor_speed_105,02,10,2,10,20.0,244,30,64
corridor_speed_105,03,10,1,10,10.0,200,29,91
corridor_speed_105,04,10,0,10,0.0,160,19,231
corridor_speed_105,00,15,2,15,13.3,364,31,65
corridor_speed_105,01,15,1,15,6.7,320,26,81
corridor_speed_105,02,15,8,15,53.3,825,67,63
corridor_speed_105,03,15,1,15,6.7,336,30,69
corridor_speed_105,04,15,0,15,0.0,255,19,252
corridor_speed_105,00,20,8,20,40.0,1025,59,61
corridor_speed_105,01,20,2,20,10.0,515,28,77
corridor_speed_105,02,20,8,20,40.0,1206,71,61
corridor_speed_105,03,20,0,20,0.0,443,27,70
corridor_speed_105,04,20,0,20,0.0,350,19,227
corridor_speed_105,00,25,8,25,32.0,1717,82,62
corridor_speed_105,01,25,1,25,4.0,709,31,63
corridor_speed_105,02,25,1,25,4.0,726,32,64
corridor_speed_105,03,25,0,25,0.0,558,27,70
corridor_speed_105,04,25,1,25,4.0,520,23,278
bottleneck_doors_105,00,5,5,5,100.0,135,34,12
bottleneck_doors_105,01,5,5,5,100.0,131,41,7
bottleneck_doors_105,02,5,5,5,100.0,130,36,4
bottleneck_doors_105,03,5,5,5,100.0,136,39,8
bottleneck_doors_105,04,5,5,5,100.0,110,31,3
bottleneck_doors_105,00,10,10,10,100.0,390,63,33
bottleneck_doors_105,01,10,10,10,100.0,286,41,15
bottleneck_doors_105,02,10,10,10,100.0,326,41,13
bottleneck_doors_105,03,10,10,10,100.0,324,38,12
bottleneck_doors_105,04,10,10,10,100.0,311,50,16
bottleneck_doors_105,00,15,15,15,100.0,869,161,48
bottleneck_doors_105,01,15,15,15,100.0,767,160,24
bottleneck_doors_105,02,15,15,15,100.0,680,107,26
bottleneck_doors_105,03,15,14,15,93.3,1430,340,61
bottleneck_doors_105,04,15,15,15,100.0,618,113,14
bottleneck_doors_105,00,20,1,20,5.0,514,31,65
bottleneck_doors_105,01,20,10,20,50.0,910,67,61
bottleneck_doors_105,02,20,20,20,100.0,1291,153,26
bottleneck_doors_105,03,20,20,20,100.0,1524,145,38
bottleneck_doors_105,04,20,20,20,100.0,1205,127,26
bottleneck_doors_105,00,25,20,25,80.0,1923,116,61
bottleneck_doors_105,01,25,25,25,100.0,2106,173,54
bottleneck_doors_105,02,25,25,25,100.0,2159,158,46
bottleneck_doors_105,03,25,25,25,100.0,2473,151,60
bottleneck_doors_105,04,25,11,25,44.0,1320,62,61
