solver,map_type,agents,instance_solve_pct,seeds_solved,seeds_total
het_lacam,corridor_speed_105,5,100.0,,
het_lacam,corridor_speed_105,10,100.0,,
het_lacam,corridor_speed_105,15,100.0,,
het_lacam,corridor_speed_105,20,88.0,,
het_lacam,corridor_speed_105,25,84.0,21,25
het_lacam,bottleneck_doors_105,5,100.0,,
het_lacam,bottleneck_doors_105,10,100.0,,
het_lacam,bottleneck_doors_105,15,100.0,,
het_lacam,bottleneck_doors_105,20,88.0,,
het_lacam,bottleneck_doors_105,25,84.0,21,25
het_lacam,intersection_105,5,100.0,,
het_lacam,intersection_105,10,76.0,,
het_lacam,intersection_105,15,60.0,,
het_lacam,intersection_105,20,36.0,,
het_lacam,intersection_105,25,12.0,3,25
het_lacam,cooperative_clearing_105,5,100.0,,
het_lacam,cooperative_clearing_105,10,72.0,,
het_lacam,cooperative_clearing_105,15,40.0,,
het_lacam,cooperative_clearing_105,20,20.0,,
het_lacam,cooperative_clearing_105,25,16.0,4,25
hetpibt,corridor_speed_105,5,0.0,0,5
hetpibt,corridor_speed_105,10,0.0,0,5
hetpibt,corridor_speed_105,15,0.0,0,5
hetpibt,corridor_speed_105,20,0.0,0,5
hetpibt,corridor_speed_105,25,0.0,0,25
hetpibt,bottleneck_doors_105,5,100.0,5,5
hetpibt,bottleneck_doors_105,10,100.0,5,5
hetpibt,bottleneck_doors_105,15,80.0,4,5
hetpibt,bottleneck_doors_105,20,60.0,3,5
hetpibt,bottleneck_doors_105,25,64.0,16,25
hetpibt,intersection_105,5,40.0,2,5
hetpibt,intersection_105,10,0.0,0,5
hetpibt,intersection_105,15,0.0,0,5
hetpibt,intersection_105,20,0.0,0,5
hetpibt,intersection_105,25,0.0,0,25
hetpibt,cooperative_clearing_105,5,20.0,1,5
hetpibt,cooperative_clearing_105,10,0.0,0,5
hetpibt,cooperative_clearing_105,15,0.0,0,5
hetpibt,cooperative_clearing_105,20,0.0,0,5
hetpibt,cooperative_clearing_105,25,0.0,0,25
